Unnamed: 0,MeridianLink Consumer - Consumer Module Tier 12 (up to 249 apps),MeridianLink Consumer - Consumer Module Tier 11 (250-499 apps),MeridianLink Consumer - Consumer Module Tier 10 (500-999 apps),MeridianLink Consumer - Consumer Module Tier 09 (1000-1999 apps),MeridianLink Consumer - Consumer Module Tier 08 (2000-3999 apps),MeridianLink Consumer - Consumer Module Tier 07 (4000-7999 apps),MeridianLink Consumer - Consumer Module Tier 06 (8000-9999 apps),"MeridianLink Consumer - Consumer Module Tier 05 (10,000-14,999 apps)","MeridianLink Consumer - Consumer Module Tier 04 (15,000-19,999 apps)","MeridianLink Consumer - Consumer Module Tier 03 (20,000-24,999 apps)","MeridianLink Consumer - Consumer Module Tier 02 (25,000-29,999 apps)","MeridianLink Consumer - Consumer Module Tier 01 (30,000+ apps)",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Monthly Minimum Commitment,1470,2127,4008,5796.000000000001,7548,9255,10926,13134,15849,19584,25335,32940,42880,55125,69390,90360,117840,,,MeridianLink Mortgage LOS Tier 10 (110-134 Closed Loans/Mon) with 3 implementations,18425,,92.8,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS Tier 11 (90-109 Closed Loans/Mon) no implementation,0,,94.8,,,,,,,,,,,,
Per Application Fee,147,141.8,133.6,128.8,125.8,123.4,121.4,119.4,117.4,115.2,112.6,109.8,107.2,105,102.8,100.4,98.2,,,MeridianLink Mortgage LOS Tier 11 (90-109 Closed Loans/Mon) with 1 implementation,7950,,94.8,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic Tier 17 (10-14 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 16 (15-29 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 15 (30-44 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 14 (45-59 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 13 (60-74 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 12 (75-89 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 11 (90-109 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 10 (110-134 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 09 (135-169 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 08 (170-224 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 07 (225-299 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 06 (300-399 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 05 (400-524 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 04 (525-674 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 03 (675-899 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 02 (900-1199 Closed Loans/Mon) with 1 implementation,MeridianLink Mortgage LOS with DocMagic Tier 01 (1200+ Closed Loans/Mon) with 1 implementation,,,MeridianLink Mortgage LOS Tier 11 (90-109 Closed Loans/Mon) with 2 implementations,13200,,94.8,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic  - 1 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS Tier 11 (90-109 Closed Loans/Mon) with 3 implementations,18425,,94.8,,,,,,,,,,,,
Mortgage Loans Setup Fee,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,,,MeridianLink Mortgage LOS Tier 12 (75-89 Closed Loans/Mon) no implementation,0,,96.8,,,,,,,,,,,,
Monthly Minimum Commitment,1470,2127,4008,5796.000000000001,7548,9255,10926,13134,15849,19584,25335,32940,42880,55125,69390,90360,117840,,,MeridianLink Mortgage LOS Tier 12 (75-89 Closed Loans/Mon) with 1 implementation,7950,,96.8,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS Tier 12 (75-89 Closed Loans/Mon) with 2 implementations,13200,,96.8,,,,,,,,,,,,
Per Application Fee,147,141.8,133.6,128.8,125.8,123.4,121.4,119.4,117.4,115.2,112.6,109.8,107.2,105,102.8,100.4,98.2,,,MeridianLink Mortgage LOS Tier 12 (75-89 Closed Loans/Mon) with 3 implementations,18425,,96.8,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic Tier 17 (10-14 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 16 (15-29 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 15 (30-44 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 14 (45-59 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 13 (60-74 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 12 (75-89 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 11 (90-109 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 10 (110-134 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 09 (135-169 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 08 (170-224 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 07 (225-299 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 06 (300-399 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 05 (400-524 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 04 (525-674 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 03 (675-899 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 02 (900-1199 Closed Loans/Mon) with 2 implementations,MeridianLink Mortgage LOS with DocMagic Tier 01 (1200+ Closed Loans/Mon) with 2 implementations,,,MeridianLink Mortgage LOS Tier 13 (60-74 Closed Loans/Mon) no implementation,0,,99.2,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic  - 2 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS Tier 13 (60-74 Closed Loans/Mon) with 1 implementation,7950,,99.2,,,,,,,,,,,,
Mortgage Loans Setup Fee,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,,,MeridianLink Mortgage LOS Tier 13 (60-74 Closed Loans/Mon) with 2 implementations,13200,,99.2,,,,,,,,,,,,
Monthly Minimum Commitment,1470,2127,4008,5796.000000000001,7548,9255,10926,13134,15849,19584,25335,32940,42880,55125,69390,90360,117840,,,MeridianLink Mortgage LOS Tier 13 (60-74 Closed Loans/Mon) with 3 implementations,18425,,99.2,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS Tier 14 (45-59 Closed Loans/Mon) no implementation,0,,102.2,,,,,,,,,,,,
Per Application Fee,147,141.8,133.6,128.8,125.8,123.4,121.4,119.4,117.4,115.2,112.6,109.8,107.2,105,102.8,100.4,98.2,,,MeridianLink Mortgage LOS Tier 14 (45-59 Closed Loans/Mon) with 1 implementation,7950,,102.2,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic Tier 17 (10-14 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 16 (15-29 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 15 (30-44 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 14 (45-59 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 13 (60-74 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 12 (75-89 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 11 (90-109 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 10 (110-134 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 09 (135-169 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 08 (170-224 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 07 (225-299 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 06 (300-399 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 05 (400-524 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 04 (525-674 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 03 (675-899 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 02 (900-1199 Closed Loans/Mon) with 3 implementations,MeridianLink Mortgage LOS with DocMagic Tier 01 (1200+ Closed Loans/Mon) with 3 implementations,,,MeridianLink Mortgage LOS Tier 14 (45-59 Closed Loans/Mon) with 2 implementations,13200,,102.2,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic - 3 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS Tier 14 (45-59 Closed Loans/Mon) with 3 implementations,18425,,102.2,,,,,,,,,,,,
Mortgage Loans Setup Fee,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,,,MeridianLink Mortgage LOS Tier 15 (30-44 Closed Loans/Mon) no implementation,0,,107,,,,,,,,,,,,
Monthly Minimum Commitment,1470,2127,4008,5796.000000000001,7548,9255,10926,13134,15849,19584,25335,32940,42880,55125,69390,90360,117840,,,MeridianLink Mortgage LOS Tier 15 (30-44 Closed Loans/Mon) with 1 implementation,7950,,107,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS Tier 15 (30-44 Closed Loans/Mon) with 2 implementations,13200,,107,,,,,,,,,,,,
Per Application Fee,147,141.8,133.6,128.8,125.8,123.4,121.4,119.4,117.4,115.2,112.6,109.8,107.2,105,102.8,100.4,98.2,,,MeridianLink Mortgage LOS Tier 15 (30-44 Closed Loans/Mon) with 3 implementations,18425,,107,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 17 (10-14 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 16 (15-29 Closed Loans/month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 07 (225 - 299 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 06 (300 - 399 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 05 (400 - 524 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 04 (525 - 674 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 03 (675 - 899 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 02 (900 - 1199 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 01 (1200+ Closed Loans/Month) with no implementation,,,MeridianLink Mortgage LOS First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with no implementations,0,,92.8,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic First Lien Loans - No Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 1 implementation,7950,,92.8,,,,,,,,,,,,
Mortgage Loans Setup Fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MeridianLink Mortgage LOS First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 2 implementations,13200,,92.8,,,,,,,,,,,,
Monthly Minimum Commitment,1470,2127,4008,5796.000000000001,7548,9255,10926,13134,15849,19584,25335,32940,42880,55125,69390,90360,117840,,,MeridianLink Mortgage LOS First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 3 implementations,18425,,92.8,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with no implementations,0,,94.8,,,,,,,,,,,,
Per Application Fee,147,141.8,133.6,128.8,125.8,123.4,121.4,119.4,117.4,115.2,112.6,109.8,107.2,105,102.8,100.4,98.2,,,MeridianLink Mortgage LOS First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 1 implementation,7950,,94.8,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 16 (15-29 Closed Loans/month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 07 (225 - 299 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 06 (300 - 399 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 05 (400 - 524 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 04 (525 - 674 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 03 (675 - 899 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 02 (900 - 1199 Closed Loans/Month) with 1 implementation,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 01 (1200+ Closed Loans/Month) with 1 implementation,,,MeridianLink Mortgage LOS First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 2 implementations,13200,,94.8,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic First Lien Loans  - 1 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 3 implementations,18425,,94.8,,,,,,,,,,,,
Mortgage Loans Setup Fee,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,7950,,,MeridianLink Mortgage LOS First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with no implementations,0,,96.8,,,,,,,,,,,,
Monthly Minimum Commitment,1470,2127,4008,5796.000000000001,7548,9255,10926,13134,15849,19584,25335,32940,42880,55125,69390,90360,117840,,,MeridianLink Mortgage LOS First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 1 implementation,7950,,96.8,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 2 implementations,13200,,96.8,,,,,,,,,,,,
Per Application Fee,147,141.8,133.6,128.8,125.8,123.4,121.4,119.4,117.4,115.2,112.6,109.8,107.2,105,102.8,100.4,98.2,,,MeridianLink Mortgage LOS First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 3 implementations,18425,,96.8,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 16 (15-29 Closed Loans/month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 07 (225 - 299 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 06 (300 - 399 Closed Loans/Month) with 2 implentations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 05 (400 - 524 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 04 (525 - 674 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 03 (675 - 899 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 02 (900 - 1199 Closed Loans/Month) with 2 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 01 (1200+ Closed Loans/Month) with 2 implementations,,,MeridianLink Mortgage LOS First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with no implementations,0,,99.2,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic First Lien Loans - 2 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 1 implementation,7950,,99.2,,,,,,,,,,,,
Mortgage Loans Setup Fee,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,,,MeridianLink Mortgage LOS First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 2 implementations,13200,,99.2,,,,,,,,,,,,
Monthly Minimum Commitment,1470,2127,4008,5796.000000000001,7548,9255,10926,13134,15849,19584,25335,32940,42880,55125,69390,90360,117840,,,MeridianLink Mortgage LOS First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 3 implementations,18425,,99.2,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with no implementations,0,,102.2,,,,,,,,,,,,
Per Application Fee,147,141.8,133.6,128.8,125.8,123.4,121.4,119.4,117.4,115.2,112.6,109.8,107.2,105,102.8,100.4,98.2,,,MeridianLink Mortgage LOS First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 1 implementation,7950,,102.2,,,,,,,,,,,,
,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 17 (10-14 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 16 (15-29 Closed Loans/month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 07 (225 - 299 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 06 (300 - 399 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 05 (400 - 524 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 04 (525 - 674 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 03 (675 - 899 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 02 (900 - 1199 Closed Loans/Month) with 3 implementations,MeridianLink Mortgage LOS with DocMagic First Lien Loans Tier 01 (1200+ Closed Loans/Month) with 3 implementations,,,MeridianLink Mortgage LOS First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 2 implementations,13200,,102.2,,,,,,,,,,,,
MeridianLink Mortgage with Doc Magic First Lien Loans- 3 Implementation Volume Plan,10-14,15-29,30-44,45-59,60-74,75-89,90-109,110-134,135-169,170-224,225-299,300-399,400-524,525-674,675-899,900-1199,1200+,,,MeridianLink Mortgage LOS First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with 3 implementations,18425,,102.2,,,,,,,,,,,,
Mortgage Loans Setup Fee,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,18425,,,MeridianLink Mortgage LOS First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with no implementations,0,,107,,,,,,,,,,,,
Monthly Minimum Commitment,1470,2127,4008,5796.000000000001,7548,9255,10926,13134,15849,19584,25335,32940,42880,55125,69390,90360,117840,,,MeridianLink Mortgage LOS First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 1 implementation,7950,,107,,,,,,,,,,,,
Minimum Monthly Closed Loan Commitment,10,15,30,45,60,75,90,110,135,170,225,300,400,525,675,900,1200,,,MeridianLink Mortgage LOS First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 2 implementations,13200,,107,,,,,,,,,,,,
Per Application Fee,147,141.8,133.6,128.8,125.8,123.4,121.4,119.4,117.4,115.2,112.6,109.8,107.2,105,102.8,100.4,98.2,,,MeridianLink Mortgage LOS First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with 3 implementations,18425,,107,,,,,,,,,,,,
,MeridianLink Mortgage LOS First Lien Loans Tier 17 (10-14 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 16 (15-29 Closed Loans/month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 15 (30 - 44 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 14 (45 - 59 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 13 (60 - 74 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 12 (75 - 89 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 11 (90 - 109 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 10 (110 - 134 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 09 (135 - 169 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 08 (170 - 224 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 07 (225 - 299 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 06 (300 - 399 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 05 (400 - 524 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 04 (525 - 674 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 03 (675 - 899 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 02 (900 - 1199 Closed Loans/Month) with no implementations,MeridianLink Mortgage LOS First Lien Loans Tier 01 (1200+ Closed Loans/Month) with no implementation,,,MeridianLink Mortgage LOS First Lien Loans Tier 16 (15-29 Closed Loans/Month) with no implementations,0,,115.2,,,,,,,,,,,,
